id,name,description,traits,asset_contract.address,asset_contract.asset_contract_type,asset_contract.created_date,asset_contract.name,asset_contract.description,collection.description,collection.name,last_sale.total_price,last_sale.payment_token.symbol,last_sale.event_timestamp,last_sale.transaction.timestamp,last_sale.transaction.to_account.user.username,script_exec_datetime_mt,cv_plotSize_m_sq,cv_OCdistance_m,cv_buildHeight_m,cv_floor_elev_m,neighborhood
22495503,3 Ash Lane,"84m² undefined title parcel on undefined, 6975m from the origin, with a 14m build height, floor is at 0m elevation","[{'trait_type': 'suburb', 'value': 'West End', 'display_type': None, 'max_value': None, 'trait_count': 94, 'order': None}, {'trait_type': 'depth', 'value': 17, 'display_type': None, 'max_value': None, 'trait_count': 81, 'order': None}, {'trait_type': 'width', 'value': 5, 'display_type': None, 'max_value': None, 'trait_count': 10, 'order': None}, {'trait_type': 'height', 'value': 14, 'display_type': None, 'max_value': None, 'trait_count': 4, 'order': None}, {'trait_type': 'elevation', 'value': 0, 'display_type': None, 'max_value': None, 'trait_count': 0, 'order': None}, {'trait_type': 'area', 'value': 84.9499989339879, 'display_type': None, 'max_value': None, 'trait_count': 0, 'order': None}]",0x79986af15539de2db9a5086382daeda917a9cf0c,non-fungible,2018-06-11T19:08:44.720025,Cryptovoxels,"A virtual world on the Ethereum blockchain. Build, develop, and sell property on the blocks and streets of Cryptovoxels. Users own the land and assets, with ownership and trading history recorded permanently on the blockchain. Trade land NFTs right here on OpenSea, and keep track of the Cryptovoxels team on Twitter for news on the latest drops and developments.","A virtual world on the Ethereum blockchain. Build, develop, and sell property on the blocks and streets of Cryptovoxels. Users own the land and assets, with ownership and trading history recorded permanently on the blockchain. Trade land NFTs right here on OpenSea, and keep track of the Cryptovoxels team on Twitter for news on the latest drops and developments.",Cryptovoxels,,,,,,2021-04-20 16:53:11.455258,84,6975,14,0,undefined
22495502,2 Strawberry Trail,"54m² plot title parcel on Far Far Away, 6935m from the origin, with a 8m build height, floor is at 0m elevation","[{'trait_type': 'depth', 'value': 11, 'display_type': None, 'max_value': None, 'trait_count': 74, 'order': None}, {'trait_type': 'height', 'value': 8, 'display_type': None, 'max_value': None, 'trait_count': 127, 'order': None}, {'trait_type': 'width', 'value': 5, 'display_type': None, 'max_value': None, 'trait_count': 10, 'order': None}, {'trait_type': 'elevation', 'value': 0, 'display_type': None, 'max_value': None, 'trait_count': 0, 'order': None}, {'trait_type': 'title', 'value': 'plot', 'display_type': None, 'max_value': None, 'trait_count': 4195, 'order': None}, {'trait_type': 'island', 'value': 'Far Far Away', 'display_type': None, 'max_value': None, 'trait_count': 41, 'order': None}, {'trait_type': 'area', 'value': 54.9499993544163, 'display_type': None, 'max_value': None, 'trait_count': 0, 'order': None}]",0x79986af15539de2db9a5086382daeda917a9cf0c,non-fungible,2018-06-11T19:08:44.720025,Cryptovoxels,"A virtual world on the Ethereum blockchain. Build, develop, and sell property on the blocks and streets of Cryptovoxels. Users own the land and assets, with ownership and trading history recorded permanently on the blockchain. Trade land NFTs right here on OpenSea, and keep track of the Cryptovoxels team on Twitter for news on the latest drops and developments.","A virtual world on the Ethereum blockchain. Build, develop, and sell property on the blocks and streets of Cryptovoxels. Users own the land and assets, with ownership and trading history recorded permanently on the blockchain. Trade land NFTs right here on OpenSea, and keep track of the Cryptovoxels team on Twitter for news on the latest drops and developments.",Cryptovoxels,,,,,,2021-04-20 16:53:11.455258,54,6935,8,0,Far Far Away
22495448,2 Dew Street,"233m² undefined title parcel on undefined, 6984m from the origin, with a 8m build height, floor is at 0m elevation","[{'trait_type': 'suburb', 'value': 'West End', 'display_type': None, 'max_value': None, 'trait_count': 94, 'order': None}, {'trait_type': 'depth', 'value': 13, 'display_type': None, 'max_value': None, 'trait_count': 90, 'order': None}, {'trait_type': 'height', 'value': 8, 'display_type': None, 'max_value': None, 'trait_count': 127, 'order': None}, {'trait_type': 'width', 'value': 18, 'display_type': None, 'max_value': None, 'trait_count': 92, 'order': None}, {'trait_type': 'elevation', 'value': 0, 'display_type': None, 'max_value': None, 'trait_count': 0, 'order': None}, {'trait_type': 'area', 'value': 233.819997146826, 'display_type': None, 'max_value': None, 'trait_count': 0, 'order': None}]",0x79986af15539de2db9a5086382daeda917a9cf0c,non-fungible,2018-06-11T19:08:44.720025,Cryptovoxels,"A virtual world on the Ethereum blockchain. Build, develop, and sell property on the blocks and streets of Cryptovoxels. Users own the land and assets, with ownership and trading history recorded permanently on the blockchain. Trade land NFTs right here on OpenSea, and keep track of the Cryptovoxels team on Twitter for news on the latest drops and developments.","A virtual world on the Ethereum blockchain. Build, develop, and sell property on the blocks and streets of Cryptovoxels. Users own the land and assets, with ownership and trading history recorded permanently on the blockchain. Trade land NFTs right here on OpenSea, and keep track of the Cryptovoxels team on Twitter for news on the latest drops and developments.",Cryptovoxels,,,,,,2021-04-20 16:53:11.455258,233,6984,8,0,undefined
22495447,2 Sharktooth Street,"90m² plot title parcel on Far Far Away, 6995m from the origin, with a 9m build height, floor is at 0m elevation","[{'trait_type': 'height', 'value': 9, 'display_type': None, 'max_value': None, 'trait_count': 99, 'order': None}, {'trait_type': 'depth', 'value': 13, 'display_type': None, 'max_value': None, 'trait_count': 90, 'order': None}, {'trait_type': 'width', 'value': 7, 'display_type': None, 'max_value': None, 'trait_count': 51, 'order': None}, {'trait_type': 'elevation', 'value': 0, 'display_type': None, 'max_value': None, 'trait_count': 0, 'order': None}, {'trait_type': 'title', 'value': 'plot', 'display_type': None, 'max_value': None, 'trait_count': 4195, 'order': None}, {'trait_type': 'island', 'value': 'Far Far Away', 'display_type': None, 'max_value': None, 'trait_count': 41, 'order': None}, {'trait_type': 'area', 'value': 90.8699935662852, 'display_type': None, 'max_value': None, 'trait_count': 0, 'order': None}]",0x79986af15539de2db9a5086382daeda917a9cf0c,non-fungible,2018-06-11T19:08:44.720025,Cryptovoxels,"A virtual world on the Ethereum blockchain. Build, develop, and sell property on the blocks and streets of Cryptovoxels. Users own the land and assets, with ownership and trading history recorded permanently on the blockchain. Trade land NFTs right here on OpenSea, and keep track of the Cryptovoxels team on Twitter for news on the latest drops and developments.","A virtual world on the Ethereum blockchain. Build, develop, and sell property on the blocks and streets of Cryptovoxels. Users own the land and assets, with ownership and trading history recorded permanently on the blockchain. Trade land NFTs right here on OpenSea, and keep track of the Cryptovoxels team on Twitter for news on the latest drops and developments.",Cryptovoxels,,,,,,2021-04-20 16:53:11.455258,90,6995,9,0,Far Far Away
22495446,2 Ash Lane,"142m² plot title parcel on Far Far Away, 6958m from the origin, with a 9m build height, floor is at 0m elevation","[{'trait_type': 'width', 'value': 13, 'display_type': None, 'max_value': None, 'trait_count': 97, 'order': None}, {'trait_type': 'height', 'value': 9, 'display_type': None, 'max_value': None, 'trait_count': 99, 'order': None}, {'trait_type': 'depth', 'value': 11, 'display_type': None, 'max_value': None, 'trait_count': 74, 'order': None}, {'trait_type': 'elevation', 'value': 0, 'display_type': None, 'max_value': None, 'trait_count': 0, 'order': None}, {'trait_type': 'title', 'value': 'plot', 'display_type': None, 'max_value': None, 'trait_count': 4195, 'order': None}, {'trait_type': 'island', 'value': 'Far Far Away', 'display_type': None, 'max_value': None, 'trait_count': 41, 'order': None}, {'trait_type': 'area', 'value': 142.889994556106, 'display_type': None, 'max_value': None, 'trait_count': 0, 'order': None}]",0x79986af15539de2db9a5086382daeda917a9cf0c,non-fungible,2018-06-11T19:08:44.720025,Cryptovoxels,"A virtual world on the Ethereum blockchain. Build, develop, and sell property on the blocks and streets of Cryptovoxels. Users own the land and assets, with ownership and trading history recorded permanently on the blockchain. Trade land NFTs right here on OpenSea, and keep track of the Cryptovoxels team on Twitter for news on the latest drops and developments.","A virtual world on the Ethereum blockchain. Build, develop, and sell property on the blocks and streets of Cryptovoxels. Users own the land and assets, with ownership and trading history recorded permanently on the blockchain. Trade land NFTs right here on OpenSea, and keep track of the Cryptovoxels team on Twitter for news on the latest drops and developments.",Cryptovoxels,,,,,,2021-04-20 16:53:11.455258,142,6958,9,0,Far Far Away
22495445,47 Strawberry Trail,"131m² plot title parcel on Far Far Away, 6929m from the origin, with a 11m build height, floor is at 0m elevation","[{'trait_type': 'height', 'value': 11, 'display_type': None, 'max_value': None, 'trait_count': 72, 'order': None}, {'trait_type': 'depth', 'value': 12, 'display_type': None, 'max_value': None, 'trait_count': 82, 'order': None}, {'trait_type': 'width', 'value': 11, 'display_type': None, 'max_value': None, 'trait_count': 72, 'order': None}, {'trait_type': 'elevation', 'value': 0, 'display_type': None, 'max_value': None, 'trait_count': 0, 'order': None}, {'trait_type': 'title', 'value': 'plot', 'display_type': None, 'max_value': None, 'trait_count': 4195, 'order': None}, {'trait_type': 'island', 'value': 'Far Far Away', 'display_type': None, 'max_value': None, 'trait_count': 41, 'order': None}, {'trait_type': 'area', 'value': 131.889998417176, 'display_type': None, 'max_value': None, 'trait_count': 0, 'order': None}]",0x79986af15539de2db9a5086382daeda917a9cf0c,non-fungible,2018-06-11T19:08:44.720025,Cryptovoxels,"A virtual world on the Ethereum blockchain. Build, develop, and sell property on the blocks and streets of Cryptovoxels. Users own the land and assets, with ownership and trading history recorded permanently on the blockchain. Trade land NFTs right here on OpenSea, and keep track of the Cryptovoxels team on Twitter for news on the latest drops and developments.","A virtual world on the Ethereum blockchain. Build, develop, and sell property on the blocks and streets of Cryptovoxels. Users own the land and assets, with ownership and trading history recorded permanently on the blockchain. Trade land NFTs right here on OpenSea, and keep track of the Cryptovoxels team on Twitter for news on the latest drops and developments.",Cryptovoxels,,,,,,2021-04-20 16:53:11.455258,131,6929,11,0,Far Far Away
22495444,3 Strawberry Trail,"153m² plot title parcel on Far Far Away, 6944m from the origin, with a 15m build height, floor is at 0m elevation","[{'trait_type': 'depth', 'value': 11, 'display_type': None, 'max_value': None, 'trait_count': 74, 'order': None}, {'trait_type': 'width', 'value': 14, 'display_type': None, 'max_value': None, 'trait_count': 82, 'order': None}, {'trait_type': 'height', 'value': 15, 'display_type': None, 'max_value': None, 'trait_count': 0, 'order': None}, {'trait_type': 'elevation', 'value': 0, 'display_type': None, 'max_value': None, 'trait_count': 0, 'order': None}, {'trait_type': 'title', 'value': 'plot', 'display_type': None, 'max_value': None, 'trait_count': 4195, 'order': None}, {'trait_type': 'area', 'value': 153.889994556096, 'display_type': None, 'max_value': None, 'trait_count': 0, 'order': None}, {'trait_type': 'island', 'value': 'Far Far Away', 'display_type': None, 'max_value': None, 'trait_count': 41, 'order': None}]",0x79986af15539de2db9a5086382daeda917a9cf0c,non-fungible,2018-06-11T19:08:44.720025,Cryptovoxels,"A virtual world on the Ethereum blockchain. Build, develop, and sell property on the blocks and streets of Cryptovoxels. Users own the land and assets, with ownership and trading history recorded permanently on the blockchain. Trade land NFTs right here on OpenSea, and keep track of the Cryptovoxels team on Twitter for news on the latest drops and developments.","A virtual world on the Ethereum blockchain. Build, develop, and sell property on the blocks and streets of Cryptovoxels. Users own the land and assets, with ownership and trading history recorded permanently on the blockchain. Trade land NFTs right here on OpenSea, and keep track of the Cryptovoxels team on Twitter for news on the latest drops and developments.",Cryptovoxels,,,,,,2021-04-20 16:53:11.455258,153,6944,15,0,Far Far Away
22495432,2 Cottage Row,"89m² plot title parcel on Far Far Away, 6993m from the origin, with a 9m build height, floor is at 0m elevation","[{'trait_type': 'height', 'value': 9, 'display_type': None, 'max_value': None, 'trait_count': 99, 'order': None}, {'trait_type': 'width', 'value': 9, 'display_type': None, 'max_value': None, 'trait_count': 49, 'order': None}, {'trait_type': 'depth', 'value': 10, 'display_type': None, 'max_value': None, 'trait_count': 58, 'order': None}, {'trait_type': 'elevation', 'value': 0, 'display_type': None, 'max_value': None, 'trait_count': 0, 'order': None}, {'trait_type': 'title', 'value': 'plot', 'display_type': None, 'max_value': None, 'trait_count': 4195, 'order': None}, {'trait_type': 'island', 'value': 'Far Far Away', 'display_type': None, 'max_value': None, 'trait_count': 41, 'order': None}, {'trait_type': 'area', 'value': 89.9099960410137, 'display_type': None, 'max_value': None, 'trait_count': 0, 'order': None}]",0x79986af15539de2db9a5086382daeda917a9cf0c,non-fungible,2018-06-11T19:08:44.720025,Cryptovoxels,"A virtual world on the Ethereum blockchain. Build, develop, and sell property on the blocks and streets of Cryptovoxels. Users own the land and assets, with ownership and trading history recorded permanently on the blockchain. Trade land NFTs right here on OpenSea, and keep track of the Cryptovoxels team on Twitter for news on the latest drops and developments.","A virtual world on the Ethereum blockchain. Build, develop, and sell property on the blocks and streets of Cryptovoxels. Users own the land and assets, with ownership and trading history recorded permanently on the blockchain. Trade land NFTs right here on OpenSea, and keep track of the Cryptovoxels team on Twitter for news on the latest drops and developments.",Cryptovoxels,,,,,,2021-04-20 16:53:11.455258,89,6993,9,0,Far Far Away
22495431,17 Pebble Boulevard,"215m² plot title parcel on Far Far Away, 6913m from the origin, with a 8m build height, floor is at 0m elevation","[{'trait_type': 'depth', 'value': 18, 'display_type': None, 'max_value': None, 'trait_count': 75, 'order': None}, {'trait_type': 'width', 'value': 12, 'display_type': None, 'max_value': None, 'trait_count': 65, 'order': None}, {'trait_type': 'height', 'value': 8, 'display_type': None, 'max_value': None, 'trait_count': 127, 'order': None}, {'trait_type': 'elevation', 'value': 0, 'display_type': None, 'max_value': None, 'trait_count': 0, 'order': None}, {'trait_type': 'title', 'value': 'plot', 'display_type': None, 'max_value': None, 'trait_count': 4195, 'order': None}, {'trait_type': 'island', 'value': 'Far Far Away', 'display_type': None, 'max_value': None, 'trait_count': 41, 'order': None}, {'trait_type': 'area', 'value': 215.879997286175, 'display_type': None, 'max_value': None, 'trait_count': 0, 'order': None}]",0x79986af15539de2db9a5086382daeda917a9cf0c,non-fungible,2018-06-11T19:08:44.720025,Cryptovoxels,"A virtual world on the Ethereum blockchain. Build, develop, and sell property on the blocks and streets of Cryptovoxels. Users own the land and assets, with ownership and trading history recorded permanently on the blockchain. Trade land NFTs right here on OpenSea, and keep track of the Cryptovoxels team on Twitter for news on the latest drops and developments.","A virtual world on the Ethereum blockchain. Build, develop, and sell property on the blocks and streets of Cryptovoxels. Users own the land and assets, with ownership and trading history recorded permanently on the blockchain. Trade land NFTs right here on OpenSea, and keep track of the Cryptovoxels team on Twitter for news on the latest drops and developments.",Cryptovoxels,,,,,,2021-04-20 16:53:11.455258,215,6913,8,0,Far Far Away
22495429,7 Pebble Boulevard,"135m² plot title parcel on Far Far Away, 6892m from the origin, with a 17m build height, floor is at 0m elevation","[{'trait_type': 'depth', 'value': 8, 'display_type': None, 'max_value': None, 'trait_count': 61, 'order': None}, {'trait_type': 'width', 'value': 17, 'display_type': None, 'max_value': None, 'trait_count': 71, 'order': None}, {'trait_type': 'height', 'value': 17, 'display_type': None, 'max_value': None, 'trait_count': 6, 'order': None}, {'trait_type': 'elevation', 'value': 0, 'display_type': None, 'max_value': None, 'trait_count': 0, 'order': None}, {'trait_type': 'title', 'value': 'plot', 'display_type': None, 'max_value': None, 'trait_count': 4195, 'order': None}, {'trait_type': 'island', 'value': 'Far Far Away', 'display_type': None, 'max_value': None, 'trait_count': 41, 'order': None}, {'trait_type': 'area', 'value': 135.829992729154, 'display_type': None, 'max_value': None, 'trait_count': 0, 'order': None}]",0x79986af15539de2db9a5086382daeda917a9cf0c,non-fungible,2018-06-11T19:08:44.720025,Cryptovoxels,"A virtual world on the Ethereum blockchain. Build, develop, and sell property on the blocks and streets of Cryptovoxels. Users own the land and assets, with ownership and trading history recorded permanently on the blockchain. Trade land NFTs right here on OpenSea, and keep track of the Cryptovoxels team on Twitter for news on the latest drops and developments.","A virtual world on the Ethereum blockchain. Build, develop, and sell property on the blocks and streets of Cryptovoxels. Users own the land and assets, with ownership and trading history recorded permanently on the blockchain. Trade land NFTs right here on OpenSea, and keep track of the Cryptovoxels team on Twitter for news on the latest drops and developments.",Cryptovoxels,,,,,,2021-04-20 16:53:11.455258,135,6892,17,0,Far Far Away
